20508824 24
20508848 16
20508864 32
20508896 24
20508920 16
20508936 16
20508952 16
20508968 24
20508992 8
20509000 8
20509008 32
20509040 24
20509064 24
20509088 24
20509096 24216
20509112 8
20509120 8
20509128 16
20509144 8
20509152 16
20509168 16
20509184 8
20509192 16
20509208 32
20509240 16
20509256 16
20509272 24
20509296 32
20509328 16
20509344 16
20509360 8
20509368 16
20509384 8
20509392 24
20509416 8
20509424 8
20509432 8
20509440 8
20509448 32
20509480 8
20509488 8
20509496 8
20509504 8
20509512 16
20509528 8
20509752 1032
20510096 0
20510128 40
20510168 0
20510200 24
20510224 40
20510264 0
20510272 32
20510304 16
20510320 0
20510392 16
20510408 56
20510464 0
20510496 80
20510576 16
20510592 16
20510608 0
20510656 40
20510696 32
20510728 24
20510752 40
20510784 312
20510792 24
20510816 0
20510832 40
20510872 24
20510896 0
20511096 1032
20512128 296
20512424 296
20512624 56
20512720 128
20514096 16
20514112 16
20514128 16
20514144 16
20514160 16
20514176 16
20514192 16
20514208 16
20514224 16
20514240 16
20514256 16
20514800 56
20514864 56
20514920 56
20514976 56
20515032 56
20515088 56
20515144 56
20515200 56
20515256 56
20515312 56
20515368 56
20515424 56
20533312 2168
20535480 1248
20536728 368
20537104 21864
20558968 24664
20583632 1376
20585008 22864
20607872 2072
20609944 1376
20611328 21864
20633192 24664
20657856 1376
20659232 22864
20682096 2072
20684168 1376
21338664 768
21339432 720
21340152 32
21340184 792
21340976 24
21341000 16
21341016 8
21341048 768
21341816 864
21342680 16
21342696 792
21343488 16
21343504 8
23343984 21376
23365360 23320
23388680 600
23389280 22488
23411768 368
23412136 344
23412480 0
23412496 20248
23432744 22320
23455064 240
23455304 21688
23476992 240
23477232 520
23477752 16
25700944 7344
25708288 7048
25715336 120
25715456 7576
25723032 128
25723160 144
25723304 0
25981056 41648
26002640 2624
26005264 26584
26022704 45440
26031848 29480
26061328 3528
26064856 1672
26066528 26720
26068144 19208
26087352 46344
26093248 31696
26124944 28232
26133696 19424
26153120 17736
26153176 23920
26170856 5720
26176592 41648
26177096 1256
26178352 3880
26182232 1312
26218240 45440
26263680 19208
26282888 46344
26329232 19424
26348656 17736
26366392 5720
26376136 560
26376696 536
26377232 808
26378040 472
26378512 776
26379288 736
26380024 432
26380464 424
26380888 512
26381400 632
26382032 552
26382584 792
26382928 976
26383376 728
26383904 1032
26384104 584
26384936 304
26385240 1040
26386280 312
26386592 280
26386872 64
26386936 560
26387496 536
26388032 808
26388840 472
26389312 776
26390088 736
26390824 432
26393728 1024
26394152 512
26394664 632
26394752 1032
26395296 552
26395696 8
26395784 312
26395840 104
26395848 792
26396096 1032
26396640 728
26397128 296
26397368 584
26397424 296
26397720 128
26552240 2072
26554312 2072
26556384 1288
26557672 2072
26559744 2072
26561816 2072
26563888 1288
26565176 1896
26567072 1896
26568968 1288
26570256 704
26570960 1288
26572248 1288
26573536 1288
26574824 704
26575528 2072
26577600 2072
26579672 1896
26581568 1288
26582856 704
26583560 2072
26585632 2072
26587704 1288
26588992 1288
26590280 1896
26592176 1288
26593464 1288
26594752 1288
26596040 1288
26597328 2072
26599400 2072
26601472 1608
26603080 1288
26604368 1608
26605976 1288
26607264 1288
26608552 1288
26609840 1608
26611448 1288
26612736 1288
26614024 1288
26615312 704
26616016 1608
26617624 1288
26618912 704
26619616 704
26620320 1288
26621608 1288
26622896 1288
26666512 6888
26673400 9656
26683056 2264
26685320 7680
26689008 312
26689016 8
26689024 32
26689048 40
26689056 16
26689072 24
26689088 16
26689096 16
26689104 40
26689112 24
26689136 16
26689144 40
26689152 32
26689184 40
26689208 16
26689224 16
26689240 32
26689256 24
26689272 32
26689280 8
26689288 48
26689296 32
26689304 16
26689320 32
26689328 16
26689336 8
26689344 96
26689352 304
26689360 16
26689376 8
26689384 40
26689400 8
26689408 8
26689416 16
26689424 40
26689432 8
26689440 296
26689456 16
26689464 32
26689472 8
26689480 16
26689496 16
26689512 8
26689520 40
26689528 16
26689544 16
26689560 40
26689584 32
26689600 16
26689616 16
26689632 32
26689648 8
26689656 216
26689664 16
26689672 8
26689680 16
26689696 16
26689704 8
26689712 16
26689720 8
26689728 40
26689736 32
26689768 280
26689776 8
26689784 8
26689792 8
26689800 16
26689808 24
26689816 8
26689832 16
26689848 24
26689872 16
26689888 24
26689904 16
26689912 296
26689920 24
26689944 16
26689960 16
26689976 16
26689992 8
26690000 24
26690024 16
26690040 8
26690048 264
26690056 16
26690072 16
26690088 16
26690208 232
26690312 112
26690424 72
26690440 232
26690496 24
26690520 16
26690536 80
26690616 264
26690672 80
26690752 8
26690760 32
26690792 8
26690832 200
26690880 32
26690912 80
26690992 232
26691032 1824
26691224 248
26691472 16
26691488 272
26691760 224
26691984 56
26692040 32
26692072 16
26692088 280
26692368 256
26692624 120
26692744 8
26692752 296
26692856 1496
26693000 2552
26693048 216
26693184 272
26693264 48
26693312 120
26693432 40
26693456 216
26693472 64
26693536 16
26693552 40
26693672 1112
26694352 72
26694424 136
26694560 1776
26694784 640
26695424 1496
26695552 1608
26696336 1536
26696920 984
26697752 16
26697872 1544
26699416 528
26699944 64
26700008 256
26700264 64
26700336 1672
26702008 192
26702200 1920
26704120 1680
26705800 136
26705936 128
26706064 1936
26707672 40
26707712 40
26707752 16
26707768 40
26707808 40
26707848 40
26707888 16
26707904 32
26707936 32
26707968 16
26707984 8
26707992 16
26708000 1816
26708008 16
26708024 16
26708040 8
26708048 40
26708088 40
26708128 32
26708160 16
26708176 8
26708184 40
26708224 40
26708264 16
26708280 16
26708296 32
26708328 16
26708344 16
26708360 16
26708376 16
26708392 40
26708432 40
26708472 24
26708496 16
26708512 24
26708536 16
26708552 16
26708568 16
26708584 24
26708608 16
26708624 16
26708640 16
26708656 8
26708664 24
26708688 16
26708704 8
26708712 8
26708720 16
26708736 16
26708752 16
26709120 8
26709128 32
26709160 16
26709176 24
26709200 16
26709216 24
26709240 16
26709256 32
26709288 24
26709312 16
26709328 16
26709344 16
26709360 24
26709384 8
26709392 8
26709400 32
26709432 24
26709456 24
26709480 24
26709504 8
26709512 8
26709520 16
26709536 8
26709544 16
26709560 16
26709576 8
26709584 16
26709600 32
26709632 16
26709648 16
26709664 24
26709688 32
26709720 16
26709736 16
26709752 8
26709760 16
26709776 8
26709784 24
26709808 8
26709816 1792
26709824 8
26709832 8
26709840 32
26709872 8
26709880 8
26709888 8
26709896 8
26709904 16
26709920 8
26709936 16
26709952 16
26709968 16
26709984 16
26710000 16
26710016 16
26710032 16
26710048 16
26710064 16
26710080 16
26710096 16
26710112 16
26710128 16
26710144 16
26710160 16
26710176 16
26710192 16
26710208 16
26710224 16
26710240 16
26710256 16
26710272 16
26710288 16
26710304 16
26710320 16
26710336 16
26710352 16
26710360 8
26710368 8
26710376 24
26710384 16
26710400 16
26710416 32
26710432 16
26710448 24
26710464 16
26710480 16
26710488 24
26710496 16
26710512 8
26710520 24
26710528 16
26710544 16
26710560 8
26710568 24
26710576 16
26710592 16
26710608 16
26710624 16
26710640 16
26710656 16
26710672 16
26710688 16
26710704 16
26710720 16
26710736 16
26711608 976
26712008 2072
26712480 56
26712536 56
26712584 64
26712592 56
26712648 256
26712704 56
26712760 56
26712816 56
26712872 56
26712904 8
26712928 56
26712984 56
26713040 56
26713096 56
26713152 56
26713208 56
26713264 56
26713320 56
26713376 56
26713432 56
26713488 56
26713544 56
26713600 56
26713656 56
26713712 56
26713768 56
26713824 56
26713880 56
26713936 56
26713992 56
26714048 56
26714080 1288
26714104 56
26714160 56
26714216 56
26714272 56
26714328 56
26714384 56
26714440 56
26714496 56
26714552 56
26714608 56
26714664 56
26714720 56
26714776 56
26714832 56
26714888 56
26714944 56
26715000 56
26715056 56
26715112 56
26715168 56
26715224 56
26715280 56
26715368 2072
26717440 2072
26719512 2072
26721584 1288
26722872 1896
26724768 1896
26726664 1288
26727952 704
26728656 1288
26729944 1288
26731232 1288
26732520 704
26733224 2072
26735296 2072
26737368 1896
26739264 1288
26740552 704
26741256 2072
26743328 2072
26745400 1288
26746688 1288
26747976 1896
26749872 1288
26751160 1288
26752448 1288
26753736 1288
26755024 2072
26757096 2072
26759168 1608
26760776 1288
26762064 1608
26763672 1288
26764960 1288
26766248 1288
26767536 1608
26769144 1288
26770432 1288
26771720 1288
26773008 704
26773712 1608
26775320 1288
26776608 704
26777312 704
26778016 1288
26779304 1288
26780592 1288
26787616 8
26787624 8
26787632 8
26787640 8
26787648 8
26787656 8
26787664 8
26787672 8
26787680 8
26787688 8
26787696 8
26787704 8
26787712 8
26787720 8
26787728 8
26787736 8
26787744 8
26787752 8
26787760 8
26787768 8
26787776 8
26787784 8
26787792 8
26787800 8
26787808 8
26787816 8
26787824 8
26787832 8
26787840 8
26787848 8
26787856 8
26787864 8
26787872 8
26787880 8
26787888 8
26787896 8
26787904 8
26787912 8
26787920 8
26787928 8
26787936 8
26787944 8
26787952 8
26787960 8
26787968 8
26787976 8
26787984 8
26787992 8
26788000 8
26788008 8
26788016 8
26788024 8
26788032 8
26788040 8
26788048 8
26788056 8
26788064 8
26788072 8
26788080 8
26788088 8
26788096 8
26788104 8
26788112 8
26788120 8
26788128 8
26788136 8
26788144 8
26788152 8
26788160 8
26788168 8
26792448 32
26792480 24
26792504 32
26792536 8
26792544 48
26792592 24
26792616 8
26792624 16
26792640 16
26792656 16
26792672 24
26792696 8
26792704 16
26792720 32
26792752 32
26792784 8
26792792 16
26792808 8
26792816 16
26792832 16
26792848 24
26792872 24
26792896 8
26792904 8
26792912 8
26792920 8
26792928 16
26792944 8
26792952 16
26792968 40
26793008 16
26793024 8
26793032 24
26793056 32
26793088 16
26793104 16
26793120 8
26793128 16
26793144 16
26793160 24
26793184 8
26793192 16
26793208 16
26793224 8
26793232 16
26793248 8
26793256 16
26793272 24
26793296 8
26793304 16
26793320 56
26793376 24
26793400 24
26793424 16
26793440 16
26793456 32
26793488 24
26793512 24
26793536 8
26793544 40
26793584 8
26793592 24
26793616 16
26793632 16
26793648 32
26793680 24
26793704 24
26793728 24
26793752 32
26793784 8
26794616 32
26794648 24
26794672 32
26794704 8
26794712 48
26794760 24
26794784 8
26794792 16
26794808 16
26794824 16
26794840 24
26794864 8
26794872 16
26794888 32
26794920 32
26794952 8
26794960 16
26794976 8
26794984 16
26795000 16
26795016 24
26795040 24
26795064 8
26795072 8
26795080 8
26795088 8
26795096 16
26795112 8
26795120 16
26795136 40
26795176 16
26795192 8
26795200 16
26795216 16
26795224 32
26795232 16
26795248 16
26795256 16
26795264 16
26795272 16
26795280 16
26795288 8
26795296 16
26795312 16
26795328 16
26795344 16
26795352 8
26795360 16
26795376 16
26795392 16
26795400 16
26795408 16
26795416 8
26795424 16
26795440 16
26795456 16
26795464 8
26795472 16
26795488 16
26795504 16
26795520 16
26795536 16
26795544 24
26795552 16
26795568 16
26795584 16
26795592 16
26795600 16
26795608 16
26795616 16
26795624 32
26795632 16
26795648 16
26795656 24
26795664 16
26795680 16
26795696 16
26795704 8
26795712 16
26795728 16
26795744 16
26795752 8
26795760 16
26795776 16
26795784 16
26795792 16
26795800 16
26795808 16
26795816 32
26795824 16
26795840 16
26795848 24
26795856 16
26795872 16
26795888 16
26795896 24
26795904 16
26795920 16
26795936 16
26795952 16
26795968 16
26795984 16
26796000 16
26796016 16
26796032 16
26796048 16
26796064 16
26796080 16
26796096 16
26796112 16
26796128 16
26796144 16
26796160 16
26796176 16
26796192 16
26796208 16
26796224 16
26796240 16
26796256 16
26796272 16
26796288 16
26796304 16
26796320 16
26796336 16
26796352 16
26796368 16
26796384 16
26796400 16
26796416 16
26798096 56
26799800 1024
26800336 16
26800352 16
26800368 16
26800384 16
26800400 16
26800416 16
26800432 16
26800448 16
26800464 16
26800480 16
26800496 16
26800512 16
26800528 16
26800544 16
26800560 16
26800576 16
26800592 16
26800776 1032
26800824 1032
26801408 56
26801464 56
26801520 56
26801576 56
26801632 56
26801688 56
26801744 56
26801800 56
26801808 304
26801856 312
26801912 56
26801968 56
26802024 56
26802080 56
26802112 1040
26802136 56
26802168 1032
26802192 56
26802248 56
26802304 56
26803152 312
26803200 296
26803464 280
26803496 296
26803744 64
26803792 128
26803824 2184
26804768 8
26804776 8
26804784 8
26804792 8
26804800 8
26804808 8
26804816 8
26804968 1024
26805992 1032
26806008 2240
26807024 312
26807336 1032
26808248 632
26808368 296
26808664 296
26808880 2160
26808960 128
26810048 424
26810608 512
26810992 8
26811000 8
26811008 8
26811016 8
26811024 8
26811032 8
26811040 552
26811088 16
26811536 40
26811592 632
26812224 256
26812256 8
26812264 8
26812272 8
26812280 8
26812288 8
26812296 8
26812304 8
26812312 8
26812320 8
26812328 8
26812336 8
26812344 8
26812352 8
26812512 21376
26833888 23320
26857208 600
26857808 22488
26871776 33160
26880296 368
26880664 344
26881008 0
26881024 20248
26887536 11352
26898888 11088
26901272 22320
26904936 34344
26905104 17696
26909976 296
26910272 12440
26915944 10128
26922712 240
26922800 19192
26922952 184
26923136 72
26923216 11352
26923592 240
26923832 21688
26926072 760
26926832 10824
26934568 11088
26937656 968
26938624 752
26939280 784
26939376 8
26939392 10840
26940064 34744
26941992 2152
26944144 18712
26945520 240
26945656 296
26945760 520
26945952 12440
26946280 16
26950232 10128
26958392 240
26958632 184
26958816 72
26960360 760
26961120 10824
26962856 2344
26965200 1752
26966952 216
26971104 11760
26971944 968
26972912 752
26973664 8
26974808 640
26975448 680
26976128 24
26979872 7248
26982864 13120
26987120 7248
26991408 1824
26991680 216
26991896 1112
26993008 640
26993232 200
26993432 1824
26993648 1496
26994368 2312
26995144 984
26995256 1496
26995984 104
26996088 12184
26996240 8
26996248 8
26996256 8
26996264 8
26996272 8
26996280 8
26996288 8
26996296 8
26996304 8
26996312 8
26996320 8
26996328 8
26996336 8
26996344 8
26996352 8
26996360 8
26996368 8
26996376 8
26996384 8
26996392 8
26996400 8
26996408 8
26996416 8
26996424 8
26996432 8
26996440 8
26996448 8
26996456 8
26996464 8
26996472 8
26996480 8
26996488 8
26996496 8
26996504 8
26996512 8
26996520 8
26996528 8
26996536 8
26996544 8
26996552 8
26996560 8
26996568 8
26996576 8
26996584 8
26996592 8
26996600 8
26996608 8
26996616 8
26996624 8
26996680 7064
26996752 72
26996824 136
26996960 1776
26998736 1536
27000272 1544
27001816 528
27002344 64
27002408 256
27002664 64
27002952 232
27003184 24
27003208 272
27003480 224
27003704 24
27003728 16
27003744 2104
27004032 248
27004280 224
27004504 136
27004640 8
27004648 32
27004680 8
27005848 2072
27006432 408
27006656 104
27006704 8
27006712 8
27006720 24
27006744 16
27006760 8
27006768 24
27006792 248
27006840 48
27006888 408
27007040 32
27007072 312
27007296 368
27007384 224
27007608 152
27007664 24
27007688 32
27007720 400
27007760 64
27007824 16
27007840 8
27007848 40
27007888 232
27007920 904
27008120 368
27008152 64
27008216 72
27008272 200
27008288 224
27008472 88
27008488 352
27008512 8
27008520 248
27008768 216
27008840 200
27008984 112
27009040 24
27009064 104
27009096 48
27009144 16
27009160 248
27009168 24
27009408 232
27009640 160
27009800 16
27009816 216
27010032 184
27010216 88
27010304 120
27010424 88
27010512 96
27010608 40
27010648 32
27011368 16
27070848 33160
27070856 312
27070888 40
27070928 16
27070944 40
27070984 40
27071024 40
27071064 16
27071080 32
27071112 32
27071144 16
27071160 8
27071168 32
27071184 16
27071200 304
27071216 8
27071224 40
27071264 40
27071304 32
27071336 16
27071352 8
27071360 40
27071400 40
27071424 64
27071440 16
27071456 16
27071472 32
27071488 592
27071504 216
27071520 16
27071536 16
27071552 16
27071568 40
27071608 40
27071648 24
27071672 16
27071688 24
27071712 16
27071720 16
27071728 16
27071736 24
27071744 16
27071760 296
27071784 16
27071800 16
27071816 16
27071832 8
27071840 24
27071864 16
27071872 1032
27071880 8
27071888 8
27071896 16
27071912 16
27071928 16
27072056 232
27072080 584
27072288 232
27072520 80
27072552 1648
27072600 8
27072608 32
27072640 8
27072664 48
27072712 56
27072768 640
27072904 312
27072984 2112
27073216 1032
27073408 816
27074200 128
27074224 664
27074248 296
27074328 1736
27074544 296
27074840 128
27074888 408
27075096 712
27075296 24
27075320 160
27075480 0
27075488 16
27075504 16
27075520 16
27075536 16
27075552 16
