67690520 3656
67692376 296
67692672 304
67694176 3664
67695288 992
67696280 1008
67696912 80
67697136 160
67697288 408
67697696 1136
67697840 488
67698016 1200
67698328 3784
67698832 360
67699128 72
67699192 424
67699200 88
67699216 1176
67699288 16
67699304 96
67699400 16
67699416 8
67699448 72
67699520 72
67699592 24
67699616 136
67699680 8
67699688 16
67699704 8
67700376 16
67700392 88
67702112 576
67702688 632
67703320 48
67712640 37872
67723096 768
67723864 73728
67730880 16
67730896 16
67730912 16
67730928 16
67730944 16
67730960 16
67730976 16
67730992 16
67731232 56
67731296 56
67731352 56
67731408 56
67731464 56
67731520 56
67731576 56
67731632 56
67731688 56
67732208 352
67749872 3656
67750512 1160
67751672 38816
67753528 3664
67757184 7272
67757192 488
67757680 3784
67761464 576
67762040 632
67762672 48
67764456 3152
67766688 3656
67767608 8144
67770344 3664
67774008 488
67774496 3784
67775752 2600
67778280 576
67778352 3280
67778856 632
67779488 48
67779536 1168
67780704 1256
67781632 976
67781960 1384
67783344 1176
67784520 1464
67785984 1440
67786864 144
67787008 72
67787080 168
67787248 120
67787368 32
67787400 104
67787424 568
67787504 48
67787512 528
67787552 176
67787728 144
67787872 24
67787896 120
67788016 96
67788040 904
67788112 16
67788128 48
67788176 32
67788208 72
67788280 32
67788312 32
67788344 32
67788376 88
67788464 136
67788600 8
67788608 112
67788720 96
67788816 32
67788848 56
67788904 144
67788944 192
67789048 48
67789096 176
67789136 512
67789272 120
67789392 40
67789432 136
67789568 96
67789648 104
67789664 88
67789744 2848
67789752 88
67789840 88
67789928 104
67790032 72
67790104 48
67790152 136
67790288 64
67790352 88
67790408 920
67790440 8
67790448 88
67790488 2088
67790536 120
67790656 112
67790768 40
67790808 72
67790880 88
67790968 96
67791064 32
67791096 144
67791240 128
67791328 192
67791368 96
67791464 48
67791512 48
67791520 824
67791560 152
67791712 104
67791816 40
67791856 128
67791984 88
67792072 24
67792096 56
67792152 72
67792224 16
67792344 768
67792576 1640
67792592 24
67792616 2736
67793112 128
67793240 384
67793624 256
67793880 320
67794200 256
67794456 224
67794680 256
67795352 56
67795408 56
67795472 1336
67796808 1336
67797592 768
67798144 56
67798200 1320
67798360 768
67799128 8
67799520 88
67799608 72
67800400 8
67800408 8
67800416 8
67800424 8
67800432 8
67800440 8
67800448 8
67800456 8
67800464 8
67800480 8
67800488 16
67800504 8
67800512 8
67800520 24
67800544 8
67806912 56
67806968 56
67807024 56
67807056 72
67807072 80
67807080 56
67807128 168
67807136 56
67807152 168
67807192 56
67807248 56
67807296 120
67807304 56
67807320 160
67807360 56
67807416 56
67807448 104
67807472 56
67807480 48
67807528 56
67807552 48
67807584 56
67807600 176
67807608 56
67807640 56
67807664 168
67807696 56
67807752 56
67807776 144
67807808 56
67807832 152
67807864 56
67807920 56
67807944 120
67807976 56
67807984 32
67808016 120
67808032 56
67808064 96
67808088 56
67808136 120
67808144 56
67808160 16
67808176 48
67808200 56
67808224 32
67808256 16
67808272 32
67808304 24
67808328 88
67808360 32
67808392 32
67808416 24
67808440 16
67808456 8
67821936 6176
67821944 6176
67822672 3128
67822680 3744
67822968 136
67823016 320
67823104 296
67823336 392
67823400 296
67823664 1008
67823696 136
67823728 360
67823832 264
67824088 376
67824096 200
67824296 296
67824464 408
67824592 264
67824672 408
67824856 72
67824872 352
67824928 264
67825080 1136
67825192 264
67825224 424
67825456 72
67825528 200
67825648 248
67825728 192
67825800 3424
67825904 344
67825920 200
67826120 64
67826128 3744
67826184 128
67826216 360
67826248 320
67826312 64
67826384 296
67826424 3664
67826568 392
67826576 424
67826680 136
67826816 296
67826960 360
